ticket_id,customer_id,created_at,issue_type,subject,message,reported_severity,customer_mood,times_contacted_about_this
TICK-00044,CUST-0016,2026-04-29 22:50,dashboard_bug,Numbers do not match,"Following up on this, The total on the dashboard is different to the total in the report. Hoping for a quick reply.",Low,annoyed,2
TICK-00045,CUST-0064,2026-03-01 03:50,account_lockout,Account suspended without warning,We need this dealt with today. We logged in this morning and the account is disabled. We are considering cancelling.,Low,angry,1
TICK-00046,CUST-0089,2026-03-17 01:50,password_reset,New password not accepted,"Hello, I changed my password and now the new one is rejected. No rush, whenever you get a chance.",Medium,calm,2
TICK-00047,CUST-0151,2026-04-24 07:50,data_export_failure,Export is broken,"Hi, The CSV download stops halfway and the file is unusable. Hoping for a quick reply.",Medium,annoyed,1
TICK-00048,CUST-0074,2026-08-02 07:50,api_failure,API returning errors,We need this dealt with today. Our integration is getting 500 errors on most calls. We expect a reply today.,Critical,angry,2
TICK-00049,CUST-0146,2026-02-27 10:50,notification_failure,Notifications arriving late,"Good morning, Alerts turn up about six hours after the thing happened. Many thanks.",Medium,calm,1
TICK-00050,CUST-0087,2026-04-25 02:50,feature_request,Request for bulk actions,"Hello again, Being able to select several rows at once would save us a lot of time. This is holding us up.",High,annoyed,1
TICK-00051,CUST-0115,2026-04-14 07:50,feature_request,Feature suggestion,"Hi there, It would help if we could sort the table by date. Many thanks.",Low,calm,1
TICK-00052,CUST-0076,2026-03-26 02:50,billing_error,Still being billed after cancelling,We need this dealt with today. We cancelled last month and a payment has gone out again. Please escalate this immediately.,Medium,angry,1
TICK-00053,CUST-0093,2026-06-24 21:50,payment_failure,Card declined for everyone,"Hello, Every transaction today has been rejected, including test cards. Many thanks.",High,calm,2
TICK-00054,CUST-0132,2026-04-01 21:50,slow_performance,Search is crawling,"Following up on this, Running a search takes almost a minute to return anything. Please could someone look at this.",Medium,annoyed,2
TICK-00055,CUST-0018,2026-03-24 13:50,password_reset,Password reset needed,"Good morning, The reset link never arrives in my inbox. Many thanks.",Low,calm,1
TICK-00056,CUST-0139,2026-05-31 00:50,payment_failure,Checkout is broken,"Good morning, Our customers reach the payment page and then get an error. Thanks for your help.",Critical,calm,1
TICK-00057,CUST-0071,2026-05-24 21:50,login_failure,Sign in loop,"Following up on this, It accepts my password then sends me straight back to the login screen. Please could someone look at this.",Critical,annoyed,1
TICK-00058,CUST-0060,2026-04-28 04:50,integration_failure,Integration stopped syncing,"Following up on this, Nothing has come through from the connected tool since Tuesday. This is holding us up.",Critical,annoyed,1
TICK-00059,CUST-0143,2026-07-30 00:50,password_reset,Reset email not arriving,"Following up on this, I have requested a new password four times and nothing comes through. Hoping for a quick reply.",Medium,annoyed,1
TICK-00060,CUST-0048,2026-03-27 04:50,feature_request,Feature suggestion,"Hello again, It would help if we could sort the table by date. Please could someone look at this.",High,annoyed,1
TICK-00061,CUST-0024,2026-07-21 04:50,integration_failure,Duplicate records from sync,"Good morning, The sync is creating three copies of every record. Thanks for your help.",Critical,calm,1
TICK-00062,CUST-0055,2026-06-06 05:50,password_reset,Reset email not arriving,"Hello, I have requested a new password four times and nothing comes through. Many thanks.",Medium,calm,1
TICK-00063,CUST-0128,2026-04-30 05:50,slow_performance,Search is crawling,"Hi, Running a search takes almost a minute to return anything. Hoping for a quick reply.",Medium,annoyed,1
TICK-00064,CUST-0059,2026-03-01 06:50,billing_error,Still being billed after cancelling,"Hi there, We cancelled last month and a payment has gone out again. No rush, whenever you get a chance.",High,calm,1
TICK-00065,CUST-0165,2026-06-29 02:50,password_reset,Password reset needed,"Hi, The reset link never arrives in my inbox. Hoping for a quick reply.",High,annoyed,1
TICK-00066,CUST-0158,2026-05-13 06:50,password_reset,Reset email not arriving,"Hello, I have requested a new password four times and nothing comes through. Thanks for your help.",Low,calm,2
TICK-00067,CUST-0039,2026-03-29 10:50,data_export_failure,Cannot download report,"Hello, The export button spins for a while and then nothing happens. No rush, whenever you get a chance.",Medium,calm,2
TICK-00068,CUST-0142,2026-07-13 11:50,slow_performance,Slow since the update,"Hello again, Everything has been sluggish since the change you made last week. This is holding us up.",High,annoyed,1
TICK-00069,CUST-0140,2026-04-01 02:50,integration_failure,Duplicate records from sync,This is now the third time I am writing. The sync is creating three copies of every record. We expect a reply today.,High,angry,1
TICK-00070,CUST-0177,2026-04-01 15:50,dashboard_bug,Dashboard display problem,This is now the third time I am writing. One of the charts is showing the wrong labels. Please escalate this immediately.,Medium,angry,1
TICK-00071,CUST-0170,2026-06-23 09:50,billing_error,Charged the wrong amount,"Hello, The invoice does not match the plan we are on. No rush, whenever you get a chance.",Medium,calm,1
TICK-00072,CUST-0027,2026-07-15 10:50,payment_failure,Checkout is broken,"Hi, Our customers reach the payment page and then get an error. Please could someone look at this.",Medium,annoyed,2
TICK-00073,CUST-0063,2026-07-24 10:50,integration_failure,Connection keeps dropping,"Hello again, The integration disconnects on its own every few hours. Please could someone look at this.",High,annoyed,2
TICK-00074,CUST-0028,2026-04-22 18:50,login_failure,Sign in loop,"Hi there, It accepts my password then sends me straight back to the login screen. No rush, whenever you get a chance.",Low,calm,1
TICK-00075,CUST-0102,2026-04-08 16:50,password_reset,New password not accepted,"Hi, I changed my password and now the new one is rejected. Hoping for a quick reply.",Low,annoyed,1
TICK-00076,CUST-0187,2026-02-25 14:50,slow_performance,Slow since the update,"Hello, Everything has been sluggish since the change you made last week. No rush, whenever you get a chance.",Medium,calm,1
TICK-00077,CUST-0150,2026-07-17 00:50,billing_error,Still being billed after cancelling,This is now the third time I am writing. We cancelled last month and a payment has gone out again. Please escalate this immediately.,Medium,angry,1
TICK-00078,CUST-0111,2026-05-31 14:50,payment_failure,Card declined for everyone,"Good morning, Every transaction today has been rejected, including test cards. Many thanks.",Medium,calm,1
TICK-00079,CUST-0022,2026-03-03 04:50,payment_failure,Checkout is broken,"Hello, Our customers reach the payment page and then get an error. Many thanks.",Critical,calm,1
TICK-00080,CUST-0028,2026-03-22 12:50,dashboard_bug,Chart will not load,This is now the third time I am writing. One panel stays blank no matter how many times I refresh. Please escalate this immediately.,Medium,angry,2
TICK-00081,CUST-0051,2026-07-11 07:50,slow_performance,Search is crawling,"Good morning, Running a search takes almost a minute to return anything. Thanks for your help.",Low,calm,1
TICK-00082,CUST-0151,2026-07-17 02:50,payment_failure,Card declined for everyone,"Hello again, Every transaction today has been rejected, including test cards. This is holding us up.",Critical,annoyed,2
TICK-00083,CUST-0099,2026-02-28 21:50,slow_performance,The platform is very slow,"Good morning, Pages take around thirty seconds to load. Thanks for your help.",Low,calm,1
TICK-00084,CUST-0099,2026-03-01 05:50,password_reset,Reset email not arriving,"Following up on this, I have requested a new password four times and nothing comes through. Hoping for a quick reply.",Low,annoyed,2
TICK-00085,CUST-0191,2026-07-31 20:50,feature_request,Request for bulk actions,"Good morning, Being able to select several rows at once would save us a lot of time. No rush, whenever you get a chance.",Low,calm,1
TICK-00086,CUST-0116,2026-04-17 08:50,account_lockout,Locked out of our account,"Hello, We have been shut out and cannot get back in. Thanks for your help.",High,calm,1
TICK-00087,CUST-0153,2026-06-29 18:50,integration_failure,Duplicate records from sync,"Following up on this, The sync is creating three copies of every record. Please could someone look at this.",Critical,annoyed,1
TICK-00088,CUST-0195,2026-03-13 18:50,how_to_question,Where do I find my invoices,"Hi there, I have looked in settings and cannot see a billing history anywhere. No rush, whenever you get a chance.",Low,calm,1
TICK-00089,CUST-0149,2026-04-14 18:50,system_outage,Total outage,"Following up on this, The site has been returning an error page for the last forty minutes. This is holding us up.",Critical,annoyed,1
TICK-00090,CUST-0145,2026-03-11 04:50,how_to_question,How do I do this,"Hi, I cannot work out where to change the account settings. This is holding us up.",Low,annoyed,1
TICK-00091,CUST-0034,2026-05-21 13:50,password_reset,Password reset needed,"Following up on this, The reset link never arrives in my inbox. Hoping for a quick reply.",Low,annoyed,1
TICK-00092,CUST-0025,2026-08-12 06:50,system_outage,Platform unreachable,"Hi there, Every one of our staff is getting a timeout when they try to load it. Thanks for your help.",Critical,calm,1
TICK-00093,CUST-0081,2026-06-27 06:50,billing_error,Charged the wrong amount,"Good morning, The invoice does not match the plan we are on. Many thanks.",Low,calm,1
TICK-00094,CUST-0114,2026-04-17 01:50,how_to_question,Where do I find my invoices,"Good morning, I have looked in settings and cannot see a billing history anywhere. No rush, whenever you get a chance.",Low,calm,1
TICK-00095,CUST-0169,2026-05-25 08:50,password_reset,Reset email not arriving,"Following up on this, I have requested a new password four times and nothing comes through. Please could someone look at this.",Medium,annoyed,2
TICK-00096,CUST-0034,2026-08-09 08:50,billing_error,Charged the wrong amount,"Hello again, The invoice does not match the plan we are on. Please could someone look at this.",High,annoyed,2
TICK-00097,CUST-0164,2026-04-25 12:50,integration_failure,Duplicate records from sync,"Hello, The sync is creating three copies of every record. Thanks for your help.",High,calm,1
TICK-00098,CUST-0112,2026-07-05 06:50,payment_failure,Card declined for everyone,"Good morning, Every transaction today has been rejected, including test cards. Thanks for your help.",High,calm,1
TICK-00099,CUST-0200,2026-02-17 05:50,how_to_question,Question about permissions,"Hi there, How do I give a colleague access without making them an admin. No rush, whenever you get a chance.",Low,calm,2
TICK-00100,CUST-0095,2026-02-22 08:50,login_failure,Cannot sign in,This is now the third time I am writing. The login page rejects our details even after a reset. We expect a reply today.,High,angry,2
TICK-00101,CUST-0010,2026-04-27 20:50,integration_failure,Connection keeps dropping,"Hi, The integration disconnects on its own every few hours. Hoping for a quick reply.",Critical,annoyed,1
TICK-00102,CUST-0103,2026-03-12 03:50,payment_failure,Checkout is broken,"Hello, Our customers reach the payment page and then get an error. Many thanks.",High,calm,2
TICK-00103,CUST-0188,2026-04-18 19:50,password_reset,Password reset needed,"Hello, The reset link never arrives in my inbox. Many thanks.",Medium,calm,1
TICK-00104,CUST-0108,2026-02-18 15:50,slow_performance,The platform is very slow,This is now the third time I am writing. Pages take around thirty seconds to load. We are considering cancelling.,Low,angry,1
TICK-00105,CUST-0112,2026-04-25 16:50,dashboard_bug,Numbers do not match,"Good morning, The total on the dashboard is different to the total in the report. Many thanks.",Low,calm,2
TICK-00106,CUST-0120,2026-05-16 14:50,api_failure,API timing out,"Hi there, Requests hang for thirty seconds and then fail. No rush, whenever you get a chance.",Medium,calm,1
TICK-00107,CUST-0092,2026-03-13 16:50,billing_error,Charged the wrong amount,"Hello, The invoice does not match the plan we are on. No rush, whenever you get a chance.",Low,calm,1
TICK-00108,CUST-0096,2026-06-08 13:50,dashboard_bug,Dashboard display problem,"Hello, One of the charts is showing the wrong labels. Thanks for your help.",Medium,calm,1
TICK-00109,CUST-0186,2026-03-15 19:50,billing_error,Charged the wrong amount,"Hello again, The invoice does not match the plan we are on. Hoping for a quick reply.",Medium,annoyed,1
TICK-00110,CUST-0036,2026-04-14 11:50,slow_performance,The platform is very slow,"Hello again, Pages take around thirty seconds to load. This is holding us up.",Critical,annoyed,1
TICK-00111,CUST-0200,2026-05-22 10:50,account_lockout,Locked out of our account,This is now the third time I am writing. We have been shut out and cannot get back in. We are considering cancelling.,Critical,angry,3
TICK-00112,CUST-0045,2026-04-17 00:50,login_failure,Team cannot log in,"Hi, Four of my colleagues are getting an invalid credentials message. This is holding us up.",Medium,annoyed,1
TICK-00113,CUST-0057,2026-06-15 11:50,security_incident,Suspicious activity on our account,"Hello again, There are logins from a country none of our staff are in. This is holding us up.",High,annoyed,2
TICK-00114,CUST-0102,2026-03-01 17:50,notification_failure,Notifications arriving late,"Hello again, Alerts turn up about six hours after the thing happened. This is holding us up.",Low,annoyed,2
TICK-00115,CUST-0076,2026-06-13 21:50,payment_failure,Checkout is broken,We need this dealt with today. Our customers reach the payment page and then get an error. We are considering cancelling.,High,angry,2
TICK-00116,CUST-0061,2026-04-22 10:50,api_failure,Authentication failing on API,We need this dealt with today. Our key worked yesterday and is now rejected on every call. We expect a reply today.,High,angry,3
TICK-00117,CUST-0108,2026-03-04 09:50,password_reset,New password not accepted,"Hello again, I changed my password and now the new one is rejected. Please could someone look at this.",Medium,annoyed,2
TICK-00118,CUST-0027,2026-03-03 06:50,payment_failure,Card declined for everyone,"Hi, Every transaction today has been rejected, including test cards. Hoping for a quick reply.",Medium,annoyed,3
TICK-00119,CUST-0142,2026-04-02 22:50,dashboard_bug,Dashboard display problem,"Hello, One of the charts is showing the wrong labels. Thanks for your help.",Medium,calm,2
TICK-00120,CUST-0154,2026-05-01 18:50,slow_performance,The platform is very slow,"Hi there, Pages take around thirty seconds to load. Thanks for your help.",Low,calm,1
TICK-00121,CUST-0115,2026-07-13 00:50,compliance_request,Retention policy question,"Hello, We need written confirmation of how long you keep our deleted records. Thanks for your help.",Medium,calm,2
TICK-00122,CUST-0122,2026-02-19 15:50,integration_failure,Duplicate records from sync,"Hello, The sync is creating three copies of every record. Many thanks.",Medium,calm,1
TICK-00123,CUST-0109,2026-04-27 21:50,payment_failure,Payments are not going through,"Good morning, Card charges keep failing at the final step. No rush, whenever you get a chance.",High,calm,1
TICK-00124,CUST-0004,2026-07-11 20:50,feature_request,Request for bulk actions,"Hello, Being able to select several rows at once would save us a lot of time. Thanks for your help.",Low,calm,1
TICK-00125,CUST-0147,2026-03-30 22:50,notification_failure,Notifications arriving late,"Good morning, Alerts turn up about six hours after the thing happened. Many thanks.",Low,calm,1
TICK-00126,CUST-0078,2026-03-16 19:50,api_failure,API returning errors,"Hi, Our integration is getting 500 errors on most calls. Hoping for a quick reply.",Critical,annoyed,1
TICK-00127,CUST-0096,2026-02-17 02:50,how_to_question,Where do I find my invoices,"Hi there, I have looked in settings and cannot see a billing history anywhere. Thanks for your help.",Low,calm,2
TICK-00128,CUST-0051,2026-05-24 11:50,account_lockout,Locked out of our account,"Following up on this, We have been shut out and cannot get back in. Please could someone look at this.",High,annoyed,2
TICK-00129,CUST-0073,2026-05-30 04:50,data_loss,Our records have disappeared,"Hi, About three weeks of entries are missing from our workspace. This is holding us up.",Medium,annoyed,1
TICK-00130,CUST-0065,2026-04-18 00:50,notification_failure,Alerts stopped,"Hello again, We used to get a notification for every new entry and they have gone quiet. Hoping for a quick reply.",Medium,annoyed,1
TICK-00131,CUST-0096,2026-05-12 16:50,integration_failure,Connection keeps dropping,"Hi, The integration disconnects on its own every few hours. Hoping for a quick reply.",High,annoyed,3
TICK-00132,CUST-0154,2026-03-29 22:50,billing_error,Double charged this month,"Hi there, We have two identical charges on the same date. No rush, whenever you get a chance.",High,calm,2
TICK-00133,CUST-0130,2026-07-02 08:50,account_lockout,Account suspended without warning,"Hi, We logged in this morning and the account is disabled. Hoping for a quick reply.",Low,annoyed,1
TICK-00134,CUST-0085,2026-07-21 17:50,billing_error,Charged the wrong amount,"Good morning, The invoice does not match the plan we are on. Many thanks.",Medium,calm,1
TICK-00135,CUST-0105,2026-04-23 12:50,password_reset,Password reset needed,This is now the third time I am writing. The reset link never arrives in my inbox. Please escalate this immediately.,Critical,angry,1
TICK-00136,CUST-0196,2026-08-13 10:50,feature_request,Request for bulk actions,"Hi there, Being able to select several rows at once would save us a lot of time. No rush, whenever you get a chance.",Low,calm,1
TICK-00137,CUST-0188,2026-06-19 00:50,account_lockout,Too many attempts message,"Following up on this, We are stuck on a lockout screen and the timer never clears. Hoping for a quick reply.",High,annoyed,2
TICK-00138,CUST-0035,2026-05-30 11:50,api_failure,API timing out,"Hello, Requests hang for thirty seconds and then fail. Thanks for your help.",Critical,calm,1
TICK-00139,CUST-0198,2026-07-06 12:50,integration_failure,Duplicate records from sync,This is now the third time I am writing. The sync is creating three copies of every record. We are considering cancelling.,Medium,angry,1
TICK-00140,CUST-0170,2026-07-05 20:50,slow_performance,The platform is very slow,"Following up on this, Pages take around thirty seconds to load. This is holding us up.",Medium,annoyed,2
TICK-00141,CUST-0042,2026-08-10 16:50,data_loss,Missing data after sync,"Hello, Half our project list vanished after the sync ran last night. Thanks for your help.",High,calm,1
TICK-00142,CUST-0066,2026-05-07 20:50,dashboard_bug,Dashboard display problem,This is now the third time I am writing. One of the charts is showing the wrong labels. We are considering cancelling.,Medium,angry,1
TICK-00143,CUST-0166,2026-04-20 01:50,login_failure,Team cannot log in,"Hello, Four of my colleagues are getting an invalid credentials message. No rush, whenever you get a chance.",Medium,calm,1
TICK-00144,CUST-0043,2026-03-03 06:50,payment_failure,Payments are not going through,"Hello, Card charges keep failing at the final step. No rush, whenever you get a chance.",High,calm,1
TICK-00145,CUST-0106,2026-05-30 14:50,slow_performance,Slow since the update,"Following up on this, Everything has been sluggish since the change you made last week. This is holding us up.",High,annoyed,1
TICK-00146,CUST-0099,2026-03-07 20:50,login_failure,Team cannot log in,This is now the third time I am writing. Four of my colleagues are getting an invalid credentials message. We expect a reply today.,Critical,angry,3
TICK-00147,CUST-0097,2026-03-15 10:50,billing_error,Double charged this month,"Hello, We have two identical charges on the same date. No rush, whenever you get a chance.",Low,calm,1
TICK-00148,CUST-0159,2026-07-27 12:50,notification_failure,Alerts stopped,"Hello again, We used to get a notification for every new entry and they have gone quiet. Hoping for a quick reply.",Medium,annoyed,2
TICK-00149,CUST-0057,2026-07-09 18:50,system_outage,Platform unreachable,We need this dealt with today. Every one of our staff is getting a timeout when they try to load it. Please escalate this immediately.,Critical,angry,3
TICK-00150,CUST-0056,2026-07-03 23:50,slow_performance,The platform is very slow,"Following up on this, Pages take around thirty seconds to load. This is holding us up.",High,annoyed,2
TICK-00151,CUST-0150,2026-07-10 16:50,slow_performance,The platform is very slow,We need this dealt with today. Pages take around thirty seconds to load. We are considering cancelling.,Critical,angry,2
TICK-00152,CUST-0076,2026-04-29 21:50,slow_performance,Slow since the update,"Following up on this, Everything has been sluggish since the change you made last week. Hoping for a quick reply.",Low,annoyed,3
TICK-00153,CUST-0046,2026-03-25 13:50,slow_performance,Search is crawling,"Good morning, Running a search takes almost a minute to return anything. No rush, whenever you get a chance.",Medium,calm,1
TICK-00154,CUST-0193,2026-08-04 00:50,feature_request,Dark mode request,"Hello again, Any chance of a dark theme, we work late most evenings. Please could someone look at this.",Medium,annoyed,1
TICK-00155,CUST-0061,2026-03-25 20:50,slow_performance,The platform is very slow,This is unacceptable. Pages take around thirty seconds to load. Please escalate this immediately.,Medium,angry,4
TICK-00156,CUST-0181,2026-05-06 15:50,dashboard_bug,Dashboard display problem,"Good morning, One of the charts is showing the wrong labels. Thanks for your help.",Low,calm,1
TICK-00157,CUST-0143,2026-06-23 13:50,account_lockout,Too many attempts message,This is now the third time I am writing. We are stuck on a lockout screen and the timer never clears. We are considering cancelling.,Medium,angry,2
TICK-00158,CUST-0135,2026-03-30 08:50,data_export_failure,Cannot download report,"Good morning, The export button spins for a while and then nothing happens. Many thanks.",Low,calm,1
TICK-00159,CUST-0167,2026-08-01 10:50,security_incident,Unrecognised device on our account,"Good morning, We can see a session we did not start and cannot end it. Thanks for your help.",Critical,calm,1
TICK-00160,CUST-0125,2026-08-12 12:50,compliance_request,Data deletion request,"Hello, We need a customer's personal data removed under GDPR. Many thanks.",High,calm,1
TICK-00161,CUST-0192,2026-07-21 23:50,dashboard_bug,Dashboard display problem,"Hi, One of the charts is showing the wrong labels. Hoping for a quick reply.",Medium,annoyed,1
TICK-00162,CUST-0031,2026-07-21 06:50,integration_failure,Duplicate records from sync,"Hi, The sync is creating three copies of every record. This is holding us up.",High,annoyed,1
TICK-00163,CUST-0008,2026-06-26 20:50,slow_performance,Slow since the update,"Hi there, Everything has been sluggish since the change you made last week. Many thanks.",Medium,calm,2
TICK-00164,CUST-0153,2026-06-03 18:50,billing_error,Still being billed after cancelling,"Good morning, We cancelled last month and a payment has gone out again. No rush, whenever you get a chance.",Medium,calm,2
TICK-00165,CUST-0014,2026-07-23 01:50,how_to_question,How do I do this,This is unacceptable. I cannot work out where to change the account settings. We expect a reply today.,High,angry,1
TICK-00166,CUST-0073,2026-06-24 00:50,notification_failure,Notifications arriving late,"Following up on this, Alerts turn up about six hours after the thing happened. Hoping for a quick reply.",Medium,annoyed,2
TICK-00167,CUST-0071,2026-05-02 18:50,how_to_question,Question about permissions,"Hello again, How do I give a colleague access without making them an admin. Hoping for a quick reply.",Low,annoyed,2
TICK-00168,CUST-0188,2026-03-29 18:50,password_reset,New password not accepted,"Hello, I changed my password and now the new one is rejected. Many thanks.",High,calm,3
TICK-00169,CUST-0101,2026-04-01 14:50,data_export_failure,Corrupted export file,"Following up on this, The file downloads but will not open in Excel. Please could someone look at this.",Critical,annoyed,1
TICK-00170,CUST-0169,2026-05-27 22:50,how_to_question,How do I do this,This is now the third time I am writing. I cannot work out where to change the account settings. Please escalate this immediately.,Low,angry,3
TICK-00171,CUST-0012,2026-05-17 03:50,data_loss,Deleted records we did not delete,"Hi there, A folder of client files is gone and nobody on our side removed it. Many thanks.",Critical,calm,1
TICK-00172,CUST-0058,2026-06-28 14:50,slow_performance,Slow since the update,This is now the third time I am writing. Everything has been sluggish since the change you made last week. We expect a reply today.,Medium,angry,2
